-,00:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
Thursday 2019-11-07,Giảm nhẹ,-,-,-,Tăng nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm khá,-,Giảm nhẹ,Tăng nhẹ,Giảm khá,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ
Friday 2019-11-08,-,-,Tăng nhẹ,-,Tăng nhẹ,-,-,Giảm nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm mạnh,-,Tăng nhẹ,-
Saturday 2019-11-09,-,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,-,-,-,-,-,Tăng nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Giảm nhẹ
Sunday 2019-11-10,-,-,-,-,Tăng nhẹ,-,-,Tăng ổn,Giảm nhẹ,-,-,-,Tăng nhẹ,Tăng ổn,-,-,Tăng nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,-,-,Tăng ổn
Monday 2019-11-11,Tăng nhẹ,-,-,-,Giảm nhẹ,-,-,Tăng nhẹ,-,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-
Tuesday 2019-11-12,-,-,-,-,-,-,-,-,Tăng nhẹ,-,-,Tăng nhẹ,-,-,-,-,-,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ
Wednesday 2019-11-13,Tăng nhẹ,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,-,Tăng ổn,Tăng nhẹ,Tăng ổn,-,Giảm nhẹ,-,-,Giảm nhẹ,-,Tăng nhẹ
Thursday 2019-11-14,-,-,Giảm nhẹ,Giảm nhẹ,-,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm khá,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng ổn,-,-,-
Friday 2019-11-15,-,Giảm nhẹ,-,-,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm khá,-,Tăng nhẹ,-,-,-,-,Tăng nhẹ,-,Tăng nhẹ,-,-,Giảm nhẹ,Giảm mạnh,-,-
Saturday 2019-11-16,-,-,-,-,-,Tăng nhẹ,-,-,Tăng nhẹ,-,Giảm nhẹ,-,-,-,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,-,-,-,Tăng nhẹ,-
Sunday 2019-11-17,Tăng nhẹ,-,-,-,Tăng nhẹ,-,-,-,-,-,-,-,-,-,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ
Monday 2019-11-18,-,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,-,Giảm nhẹ,-,-,-,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,-
Tuesday 2019-11-19,Giảm khá,Giảm khá,-,-,-,-,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,Giảm khá,Tăng nhẹ,-,Giảm nhẹ,Giảm khá,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ
Wednesday 2019-11-20,-,-,-,-,-,-,Giảm nhẹ,-,-,Tăng nhẹ,-,-,-,-,-,Giảm nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,-
Thursday 2019-11-21,-,-,Giảm mạnh,Giảm nhẹ,Tăng ổn,Tăng nhẹ,-,-,-,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm khá,-,Giảm mạnh,-,-,Giảm khá,Tăng nhẹ,-,Giảm mạnh,Giảm khá,-
Friday 2019-11-22,Giảm nhẹ,-,Tăng ổn,Giảm nhẹ,-,-,-,Tăng ổn,Tăng nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,Giảm mạnh,Tăng ổn,Giảm nhẹ,What the *,Giảm mạnh,Tăng nhẹ,Tăng nhẹ,What the *,Giảm mạnh,Tăng tốt,Giảm nhẹ
Saturday 2019-11-23,Tăng nhẹ,Tăng nhẹ,Tăng ổn,-,-,Giảm khá,Tăng nhẹ,Giảm khá,Tăng ổn,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,Giảm nhẹ,-,Tăng ổn,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Tăng tốt,Tăng nhẹ
Sunday 2019-11-24,Giảm nhẹ,-,-,Giảm nhẹ,-,Tăng ổn,Tăng nhẹ,Giảm khá,Tăng nhẹ,-,Giảm nhẹ,-,Tăng ổn,Tăng ổn,Giảm khá,-,Tăng ổn,Giảm mạnh,Tăng ổn,Giảm khá,Giảm nhẹ,Giảm khá,Giảm mạnh,Tăng tốt
Monday 2019-11-25,Tăng nhẹ,-,Giảm khá,Tăng nhẹ,-,-,Giảm mạnh,Giảm nhẹ,Giảm mạnh,Tăng nhẹ,Giảm khá,-,Giảm mạnh,Tăng tốt,-,Tăng tốt,Giảm nhẹ,Tăng tốt,-,Tăng tốt,Tăng nhẹ,-,Tăng ổn,Giảm nhẹ
Tuesday 2019-11-26,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm khá,Tăng ổn,-,Tăng ổn,Tăng tốt,Giảm khá,Giảm nhẹ,Giảm khá,Tăng nhẹ,Giảm khá,-,Tăng nhẹ,Giảm nhẹ,-,Giảm khá,Tăng nhẹ,Tăng nhẹ,-
Wednesday 2019-11-27,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,-,Tăng ổn,-,Giảm nhẹ,Giảm khá,-,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Giảm khá,Tăng nhẹ,Tăng tốt,Tăng nhẹ,Tăng nhẹ,-,-,Tăng tốt
Thursday 2019-11-28,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Tăng ổn,Tăng nhẹ,Giảm khá,Tăng ổn,Giảm khá,-,Giảm nhẹ,Tăng ổn,-,-,Giảm nhẹ,Giảm nhẹ,-,Giảm khá,-,Tăng nhẹ,Tăng ổn,Giảm nhẹ
Friday 2019-11-29,-,Giảm nhẹ,-,Giảm nhẹ,-,Giảm khá,-,Tăng ổn,-,Tăng nhẹ,-,-,Giảm nhẹ,-,Tăng nhẹ,-,Tăng ổn,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng ổn,-
Saturday 2019-11-30,-,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,Tăng ổn,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,-,Giảm khá,Giảm khá,-,-
Sunday 2019-12-01,Giảm khá,Tăng nhẹ,-,-,-,Giảm nhẹ,Tăng ổn,Giảm khá,Giảm khá,Giảm khá,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,Tăng ổn,Tăng nhẹ,-,Giảm khá,Tăng nhẹ
Monday 2019-12-02,Giảm nhẹ
