-,00:00 - 02:00,02:00 - 04:00,04:00 - 06:00,06:00 - 08:00,08:00 - 10:00,10:00 - 12:00,12:00 - 14:00,14:00 - 16:00,16:00 - 18:00,18:00 - 20:00,20:00 - 22:00,22:00 - 00:00
Monday 2019-08-26,-,Giảm khá,Tăng ổn,Tăng tốt,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,-,-,-,Tăng nhẹ
Tuesday 2019-08-27,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,-,-,-,Tăng nhẹ,Giảm nhẹ
Wednesday 2019-08-28,-,Giảm nhẹ,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm khá,-,-,-,Giảm nhẹ
Thursday 2019-08-29,What the *,Giảm nhẹ,Tăng ổn,Giảm khá,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,Giảm mạnh,Tăng tốt
Friday 2019-08-30,-,-,Giảm nhẹ,Giảm khá,Giảm khá,Tăng nhẹ,-,Tăng nhẹ,Tăng nhẹ,-,-,Tăng nhẹ
Saturday 2019-08-31,Giảm nhẹ,Tăng ổn,Giảm nhẹ,Giảm khá,Tăng nhẹ,-,Giảm nhẹ,-,-,Tăng nhẹ,Giảm khá,Tăng nhẹ
Sunday 2019-09-01,-,Giảm khá,Tăng tốt,-,-,Tăng nhẹ,-,Giảm nhẹ,-,-,-,Tăng nhẹ
Monday 2019-09-02,Tăng nhẹ,Tăng ổn,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,-,Giảm khá,-,Tăng nhẹ,-,Tăng nhẹ,-
Tuesday 2019-09-03,Tăng ổn,Tăng ổn,Giảm khá,-,-,Tăng nhẹ,-,Tăng nhẹ,-,Tăng tốt,Giảm nhẹ,-
Wednesday 2019-09-04,-,Tăng nhẹ,Tăng ổn,Giảm mạnh,Giảm khá,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ
